Bandit,Reward,Algorithm
0,2.3873275940504435,EpsilonGreedyBandit
3,2.5281399694205993,EpsilonGreedyBandit
2,3.2620445785170507,EpsilonGreedyBandit
0,-0.3330982161319451,EpsilonGreedyBandit
0,0.8255379194191579,EpsilonGreedyBandit
0,1.7281790498189058,EpsilonGreedyBandit
3,5.417168468982823,EpsilonGreedyBandit
2,3.373574189085264,EpsilonGreedyBandit
3,2.4325535850098623,EpsilonGreedyBandit
3,3.7245842130920934,EpsilonGreedyBandit
3,3.65074100803262,EpsilonGreedyBandit
0,1.2247768234836884,EpsilonGreedyBandit
0,0.8132929810649798,EpsilonGreedyBandit
1,3.0811339692467126,EpsilonGreedyBandit
0,0.5850941676926256,EpsilonGreedyBandit
1,2.0521506582973985,EpsilonGreedyBandit
0,0.6482120685327639,EpsilonGreedyBandit
3,6.288727694512693,EpsilonGreedyBandit
1,0.9125052412061414,EpsilonGreedyBandit
1,2.421557288015751,EpsilonGreedyBandit
1,2.7845924619616094,EpsilonGreedyBandit
2,2.0468855174771963,EpsilonGreedyBandit
3,5.2452247397012,EpsilonGreedyBandit
2,3.1696025542615027,EpsilonGreedyBandit
3,3.7921798545046315,EpsilonGreedyBandit
1,0.5633156249916451,EpsilonGreedyBandit
1,1.7118558902536796,EpsilonGreedyBandit
1,3.10571439335489,EpsilonGreedyBandit
1,2.2687679535190775,EpsilonGreedyBandit
2,2.5344210741461493,EpsilonGreedyBandit
0,0.7032604492780368,EpsilonGreedyBandit
3,2.578749344450719,EpsilonGreedyBandit
2,2.431925620740596,EpsilonGreedyBandit
2,2.1055068226012557,EpsilonGreedyBandit
0,-0.7432426332166173,EpsilonGreedyBandit
1,1.4754777306824527,EpsilonGreedyBandit
0,-0.6963149252406715,EpsilonGreedyBandit
3,2.355339029757568,EpsilonGreedyBandit
0,1.2557288928045198,EpsilonGreedyBandit
2,3.765850210592945,EpsilonGreedyBandit
1,0.37734728554693375,EpsilonGreedyBandit
0,0.736993482206998,EpsilonGreedyBandit
0,2.3338010005737466,EpsilonGreedyBandit
2,3.4444354444671994,EpsilonGreedyBandit
1,2.469806793519044,EpsilonGreedyBandit
1,2.4155261674690784,EpsilonGreedyBandit
3,4.41542587756249,EpsilonGreedyBandit
2,2.3023873211906727,EpsilonGreedyBandit
0,1.1007535554258145,EpsilonGreedyBandit
2,3.0185115768172155,EpsilonGreedyBandit
0,1.2905081038316166,EpsilonGreedyBandit
2,3.19452283332841,EpsilonGreedyBandit
1,2.6057431629986896,EpsilonGreedyBandit
2,3.7900119565955737,EpsilonGreedyBandit
3,3.985255784532673,EpsilonGreedyBandit
2,0.8712851287667718,EpsilonGreedyBandit
1,2.1001439663442367,EpsilonGreedyBandit
2,5.0411716685141545,EpsilonGreedyBandit
3,5.317608747802139,EpsilonGreedyBandit
0,0.06096722667117582,EpsilonGreedyBandit
0,1.3387137213108176,EpsilonGreedyBandit
0,1.479200387071546,EpsilonGreedyBandit
3,4.697345528184798,EpsilonGreedyBandit
